cluster,text,frequency
82,climbing,29
82,air,26
82,arrival,24
82,conflict,24
83,altimeter,25
83,altitude,21
83,setting,16
83,atc,15
83,crew,12
83,feet,11
83,captain,10
83,first,10
83,officer,10
83,approach,9
83,atis,8
83,assigned,8
83,ft,7
83,reports,6
83,resulted,6
83,pilot,6
83,digital,5
83,incorrect,5
83,flying,5
83,set,5
84,approach,20
84,visual,19
84,runway,11
84,crew,10
84,ra,7
84,carrier,7
84,parallel,6
84,sfo,5
84,tcas,5
84,approaches,5
84,28l,3
84,traffic,3
84,28r,3
84,captain,3
84,final,3
84,landing,3
84,b777,2
84,b757,2
84,slightly,2
84,course,2
85,nmac,15
85,captain,9
85,arrival,5
85,first,3
85,officer,3
85,approach,3
85,departure,2
85,event,2
85,crew,1
85,light,1
85,single,1
85,suu.emb-135,1
85,vicinity,1
85,fwn,1
85,4n1,1
85,airports,1
85,teb.g-iv,1
85,teb.hs125,1
85,ryy.emb-175,1
85,iah,1
86,pilot,14
86,evasive,10
86,avoid,9
86,action,7
86,taking,7
86,near,6
86,airspace,5
86,collision,5
86,traffic,4
86,class,3
86,mid,3
86,air,3
86,instructor,2
86,b,2
86,another,2
86,engine,2
86,action.ga,2
86,midair,2
86,captain,2
86,sr22,1
87,helicopter,27
87,pilot,25
87,near,9
87,reports,9
87,nmac,7
87,conflict,6
87,another,5
87,collision,5
87,instructor,5
87,taxiing,5
87,evasive,4
87,action,4
87,rotor,4
87,air,4
87,miss,3
87,turn,3
87,feet,3
87,ramp,3
87,two,3
87,landing,3
88,pilot,53
88,instructor,43
88,near,35
88,another,29
88,conflict,17
88,collision,17
88,student,16
88,landing,13
88,miss,12
88,airborne,12
88,traffic,11
88,airport,10
88,flying,10
88,small,10
88,pattern,9
88,training,9
88,runway,7
88,approach,7
88,opposite,7
88,evasive,7
89,pilot,39
89,runway,27
89,landing,26
89,ground,18
89,conflict,18
89,opposite,17
89,airport,12
89,takeoff,10
89,direction,10
89,instructor,9
89,another,8
89,air,7
89,non-towered,7
89,landed,7
89,traffic,6
89,critical,6
89,towered,6
89,resulting,5
89,departing,5
89,collision,5
90,nmac,14
90,pilot,10
90,traffic,10
90,instructor,5
90,pattern,4
90,atc,2
90,two,1
90,instructors,1
90,working,1
90,together,1
90,approach,1
90,dab.,1
90,reporters,1
90,critical,1
90,handling.be33,1
90,reports,1
90,pdk.pa32,1
90,cessna,1
90,172,1
90,simultaneous,1
91,nmac,283
91,pilot,218
91,instructor,77
91,pattern,68
91,another,62
91,light,39
91,traffic,38
91,approach,30
91,departing,28
91,non-towered,25
91,helicopter,24
91,event,24
91,landing,22
91,student,21
91,vicinity,18
91,airport,17
91,final,16
91,reports,14
91,atc,13
91,departure,12
92,approach,22
92,runway,12
92,crew,11
92,visual,10
92,captain,7
92,atc,6
92,localizer,5
92,first,5
92,carrier,5
92,altitude,4
92,go,4
92,officer,4
92,landing,4
92,ils,3
92,final,3
92,turned,3
92,around,3
92,lga,3
92,described,3
92,resulted,3
93,approach,23
93,crew,22
93,rnav,22
93,cleared,14
93,runway,9
93,atc,9
93,visual,8
93,arrival,6
93,transition,6
93,procedure,5
93,fmc,5
93,fly,5
93,controller,4
93,vectors,4
93,departure,4
93,crossing,4
93,altitude,4
93,clearance,4
93,ils,4
93,north,4
94,crew,15
94,atc,12
94,approach,11
94,runway,9
94,captain,8
94,officer,8
94,carrier,8
94,workload,7
94,arrival,7
94,change,6
94,first,6
94,fms,6
94,departure,5
94,late,5
94,track,5
94,atl,4
94,changes,4
94,airport,4
94,increased,4
94,pilot,4
95,crew,274
95,track,205
95,deviation,182
95,captain,153
95,atc,130
95,runway,108
95,departure,92
95,first,92
95,fmc,91
